time,P,G(i),H_sun,T2m,WS10m,Int
20160109:0609,80.1,331.58,12.73,11.16,2.94,0.0
20160109:0709,147.06,596.14,22.65,12.95,3.55,0.0
20160109:0809,188.44,773.53,30.72,14.73,4.17,0.0
20160109:0909,213.09,885.53,36.08,16.52,4.79,0.0
20160109:1009,195.77,809.67,37.88,17.29,4.96,0.0
20160109:1109,139.67,576.04,35.77,18.06,5.13,0.0
20160109:1209,185.04,771.12,30.16,18.83,5.3,0.0
20160109:1309,65.72,281.3,21.91,18.35,4.85,0.0
20160109:1409,39.93,181.54,11.86,17.87,4.4,0.0
20160109:1509,0.0,0.0,0.0,17.4,3.94,0.0
20160109:1609,0.0,0.0,0.0,16.92,3.5,0.0
20160109:1709,0.0,0.0,0.0,16.44,3.05,0.0
20160109:1809,0.0,0.0,0.0,15.96,2.61,0.0
20160109:1909,0.0,0.0,0.0,14.82,2.37,0.0
20160109:2009,0.0,0.0,0.0,13.67,2.13,0.0
20160109:2109,0.0,0.0,0.0,12.53,1.89,0.0
20160109:2209,0.0,0.0,0.0,11.95,1.59,0.0
20160109:2309,0.0,0.0,0.0,11.36,1.29,0.0
20160110:0009,0.0,0.0,0.0,10.78,0.99,0.0
20160110:0109,0.0,0.0,0.0,10.42,0.85,0.0
20160110:0209,0.0,0.0,0.0,10.05,0.7,0.0
20160110:0309,0.0,0.0,0.0,9.69,0.55,0.0
20160110:0409,0.0,0.0,0.0,9.78,0.4,0.0
20160110:0509,0.0,0.0,0.0,9.87,0.25,0.0
20160110:0609,80.25,336.08,12.75,9.96,0.1,0.0
20160110:0709,145.74,606.85,22.7,11.81,0.48,0.0
20160110:0809,183.65,780.32,30.8,13.67,0.87,0.0
20160110:0909,206.86,894.47,36.2,15.52,1.26,0.0
20160110:1009,214.74,930.19,38.03,16.3,1.6,0.0
20160110:1109,206.81,890.25,35.94,17.09,1.95,0.0
20160110:1209,181.31,768.52,30.33,17.88,2.3,0.0
20160110:1309,133.16,557.01,22.08,17.79,2.57,0.0
20160110:1409,53.08,235.53,12.03,17.7,2.83,0.0
20160110:1509,0.0,0.0,0.0,17.62,3.09,0.0
20160110:1609,0.0,0.0,0.0,16.54,3.01,0.0
20160110:1709,0.0,0.0,0.0,15.47,2.92,0.0
20160110:1809,0.0,0.0,0.0,14.4,2.84,0.0
20160110:1909,0.0,0.0,0.0,13.56,2.68,0.0
20160110:2009,0.0,0.0,0.0,12.72,2.52,0.0
20160110:2109,0.0,0.0,0.0,11.88,2.36,0.0
20160110:2209,0.0,0.0,0.0,11.4,2.15,0.0
20160110:2309,0.0,0.0,0.0,10.91,1.94,0.0
20160111:0009,0.0,0.0,0.0,10.43,1.72,0.0
20160111:0109,0.0,0.0,0.0,10.22,1.28,0.0
20160111:0209,0.0,0.0,0.0,10.01,0.84,0.0
20160111:0309,0.0,0.0,0.0,9.8,0.4,0.0
20160111:0409,0.0,0.0,0.0,10.01,0.47,0.0
20160111:0509,0.0,0.0,0.0,10.21,0.55,0.0
20160111:0609,37.78,165.77,12.78,10.41,0.62,0.0
20160111:0709,148.98,617.94,22.75,12.56,1.11,0.0
20160111:0809,183.0,772.11,30.89,14.7,1.6,0.0
20160111:0909,211.57,909.19,36.32,16.85,2.08,0.0
20160111:1009,225.46,973.07,38.18,17.75,2.63,0.0
20160111:1109,218.5,936.57,36.11,18.66,3.17,0.0
20160111:1209,188.37,795.18,30.51,19.56,3.71,0.0
20160111:1309,137.43,574.67,22.25,19.28,3.6,0.0
20160111:1409,56.53,250.43,12.19,18.99,3.49,0.0
20160111:1509,0.0,0.0,0.0,18.71,3.38,0.0
20160111:1609,0.0,0.0,0.0,17.46,3.37,0.0
20160111:1709,0.0,0.0,0.0,16.21,3.36,0.0
20160111:1809,0.0,0.0,0.0,14.96,3.35,0.0
20160111:1909,0.0,0.0,0.0,14.22,3.14,0.0
20160111:2009,0.0,0.0,0.0,13.49,2.94,0.0
20160111:2109,0.0,0.0,0.0,12.75,2.73,0.0
20160111:2209,0.0,0.0,0.0,12.22,2.43,0.0
20160111:2309,0.0,0.0,0.0,11.68,2.13,0.0
20160112:0009,0.0,0.0,0.0,11.15,1.83,0.0
20160112:0109,0.0,0.0,0.0,10.67,1.79,0.0
20160112:0209,0.0,0.0,0.0,10.19,1.74,0.0
20160112:0309,0.0,0.0,0.0,9.71,1.7,0.0
20160112:0409,0.0,0.0,0.0,9.83,1.58,0.0
20160112:0509,0.0,0.0,0.0,9.94,1.47,0.0
20160112:0609,36.07,158.71,12.81,10.05,1.35,0.0
20160112:0709,124.96,510.61,22.81,11.73,1.4,0.0
20160112:0809,131.39,535.63,30.98,13.42,1.45,0.0
20160112:0909,177.04,750.3,36.45,15.1,1.5,0.0
20160112:1009,219.4,949.64,38.34,16.43,1.85,0.0
20160112:1109,209.26,901.68,36.29,17.77,2.19,0.0
20160112:1209,187.87,801.58,30.69,19.1,2.54,0.0
20160112:1309,141.06,592.87,22.43,18.77,2.61,0.0
20160112:1409,57.79,255.52,12.37,18.44,2.69,0.0
20160112:1509,0.0,0.0,0.0,18.12,2.76,0.0
20160112:1609,0.0,0.0,0.0,16.69,2.78,0.0
20160112:1709,0.0,0.0,0.0,15.26,2.8,0.0
20160112:1809,0.0,0.0,0.0,13.83,2.83,0.0
20160112:1909,0.0,0.0,0.0,12.95,2.63,0.0
20160112:2009,0.0,0.0,0.0,12.07,2.44,0.0
20160112:2109,0.0,0.0,0.0,11.19,2.25,0.0
20160112:2209,0.0,0.0,0.0,10.7,1.89,0.0
