time,P,G(i),H_sun,T2m,WS10m,Int
20160106:1509,0.0,0.0,0.0,14.79,3.2,0.0
20160106:1609,0.0,0.0,0.0,14.13,3.24,0.0
20160106:1709,0.0,0.0,0.0,13.46,3.28,0.0
20160106:1809,0.0,0.0,0.0,12.8,3.32,0.0
20160106:1909,0.0,0.0,0.0,12.26,3.36,0.0
20160106:2009,0.0,0.0,0.0,11.71,3.39,0.0
20160106:2109,0.0,0.0,0.0,11.17,3.42,0.0
20160106:2209,0.0,0.0,0.0,10.92,3.52,0.0
20160106:2309,0.0,0.0,0.0,10.68,3.62,0.0
20160107:0009,0.0,0.0,0.0,10.43,3.72,0.0
20160107:0109,0.0,0.0,0.0,10.12,3.78,0.0
20160107:0209,0.0,0.0,0.0,9.82,3.84,0.0
20160107:0309,0.0,0.0,0.0,9.51,3.9,0.0
20160107:0409,0.0,0.0,0.0,10.08,4.23,0.0
20160107:0509,0.19,7.32,4.04,10.65,4.56,0.0
20160107:0609,0.0,5.53,14.42,11.22,4.88,0.0
20160107:0709,0.0,0.0,0.0,13.18,4.86,0.0
20160107:0809,2.36,20.13,30.2,15.13,4.85,0.0
20160107:0909,56.58,237.76,34.13,17.09,4.83,0.0
20160107:1009,0.0,0.0,0.0,17.56,4.88,0.0
20160107:1109,0.0,0.0,0.0,18.04,4.93,0.0
20160107:1209,0.0,0.0,0.0,18.52,4.98,0.0
20160107:1309,0.0,0.0,0.0,17.43,4.72,0.0
20160107:1409,0.0,0.0,0.0,16.34,4.46,0.0
20160107:1509,0.0,0.0,0.0,15.25,4.21,0.0
20160107:1609,0.0,0.0,0.0,14.95,4.84,0.0
20160107:1709,0.0,0.0,0.0,14.64,5.47,0.0
20160107:1809,0.0,0.0,0.0,14.34,6.1,0.0
20160107:1909,0.0,0.0,0.0,13.26,7.69,0.0
20160107:2009,0.0,0.0,0.0,12.19,9.28,0.0
20160107:2109,0.0,0.0,0.0,11.11,10.87,0.0
20160107:2209,0.0,0.0,0.0,10.89,10.47,0.0
20160107:2309,0.0,0.0,0.0,10.66,10.07,0.0
20160108:0009,0.0,0.0,0.0,10.44,9.67,0.0
20160108:0109,0.0,0.0,0.0,9.85,9.73,0.0
20160108:0209,0.0,0.0,0.0,9.27,9.79,0.0
20160108:0309,0.0,0.0,0.0,8.68,9.85,0.0
20160108:0409,0.0,0.0,0.0,9.26,9.31,0.0
20160108:0509,0.0,0.0,0.0,9.84,8.77,0.0
20160108:0609,51.71,218.6,14.44,10.41,8.23,0.0
20160108:0709,95.06,378.96,23.41,11.62,8.42,0.0
20160108:0809,26.09,117.3,30.28,12.82,8.6,0.0
20160108:0909,66.85,272.13,34.25,14.03,8.79,0.0
20160108:1009,96.58,385.7,34.68,14.13,8.91,0.0
20160108:1109,5.89,36.59,31.49,14.23,9.03,0.0
20160108:1209,25.31,114.95,25.23,14.33,9.16,0.0
20160108:1309,101.46,406.46,16.69,13.05,8.68,0.0
20160108:1409,0.0,0.0,0.0,11.76,8.2,0.0
20160108:1509,0.0,0.0,0.0,10.48,7.72,0.0
20160108:1609,0.0,0.0,0.0,10.4,7.31,0.0
20160108:1709,0.0,0.0,0.0,10.33,6.91,0.0
20160108:1809,0.0,0.0,0.0,10.25,6.5,0.0
20160108:1909,0.0,0.0,0.0,10.15,6.61,0.0
20160108:2009,0.0,0.0,0.0,10.05,6.72,0.0
20160108:2109,0.0,0.0,0.0,9.95,6.83,0.0
20160108:2209,0.0,0.0,0.0,10.08,6.85,0.0
20160108:2309,0.0,0.0,0.0,10.21,6.86,0.0
20160109:0009,0.0,0.0,0.0,10.34,6.88,0.0
20160109:0109,0.0,0.0,0.0,10.1,6.2,0.0
20160109:0209,0.0,0.0,0.0,9.87,5.52,0.0
20160109:0309,0.0,0.0,0.0,9.63,4.84,0.0
20160109:0409,0.0,0.0,0.0,10.24,4.51,0.0
20160109:0509,0.86,11.89,4.05,10.85,4.18,0.0
20160109:0609,73.67,307.92,14.47,11.46,3.85,0.0
20160109:0709,131.36,529.0,23.47,12.75,4.17,0.0
20160109:0809,176.72,717.16,30.37,14.04,4.48,0.0
20160109:0909,203.62,836.24,34.37,15.33,4.8,0.0
20160109:1009,209.97,863.82,34.82,15.39,4.86,0.0
20160109:1109,198.01,811.3,31.66,15.45,4.93,0.0
20160109:1209,154.01,625.51,25.4,15.52,4.99,0.0
20160109:1309,58.43,246.03,16.85,14.37,4.59,0.0
20160109:1409,20.81,100.8,6.73,13.23,4.19,0.0
20160109:1509,0.0,0.0,0.0,12.08,3.79,0.0
20160109:1609,0.0,0.0,0.0,11.62,3.34,0.0
20160109:1709,0.0,0.0,0.0,11.16,2.88,0.0
20160109:1809,0.0,0.0,0.0,10.7,2.43,0.0
20160109:1909,0.0,0.0,0.0,10.41,2.36,0.0
20160109:2009,0.0,0.0,0.0,10.11,2.3,0.0
20160109:2109,0.0,0.0,0.0,9.82,2.23,0.0
20160109:2209,0.0,0.0,0.0,9.74,2.17,0.0
20160109:2309,0.0,0.0,0.0,9.67,2.1,0.0
20160110:0009,0.0,0.0,0.0,9.59,2.03,0.0
20160110:0109,0.0,0.0,0.0,9.11,1.98,0.0
20160110:0209,0.0,0.0,0.0,8.63,1.94,0.0
20160110:0309,0.0,0.0,0.0,8.15,1.89,0.0
20160110:0409,0.0,0.0,0.0,8.66,1.76,0.0
20160110:0509,1.17,13.72,4.07,9.17,1.63,0.0
20160110:0609,64.09,270.2,14.51,9.67,1.5,0.0
20160110:0709,77.37,318.16,23.53,11.11,1.6,0.0
20160110:0809,147.37,604.39,30.46,12.55,1.69,0.0
20160110:0909,196.33,827.12,34.49,13.99,1.78,0.0
20160110:1009,205.04,866.28,34.98,14.3,1.93,0.0
20160110:1109,183.34,768.03,31.82,14.61,2.07,0.0
20160110:1209,124.95,513.9,25.57,14.93,2.22,0.0
20160110:1309,79.13,328.16,17.02,14.01,1.84,0.0
20160110:1409,39.43,176.54,6.9,13.1,1.47,0.0
20160110:1509,0.0,0.0,0.0,12.18,1.09,0.0
20160110:1609,0.0,0.0,0.0,11.68,0.8,0.0
20160110:1709,0.0,0.0,0.0,11.18,0.51,0.0
20160110:1809,0.0,0.0,0.0,10.68,0.22,0.0
20160110:1909,0.0,0.0,0.0,10.28,0.68,0.0
20160110:2009,0.0,0.0,0.0,9.88,1.13,0.0
20160110:2109,0.0,0.0,0.0,9.48,1.59,0.0
20160110:2209,0.0,0.0,0.0,9.22,1.61,0.0
20160110:2309,0.0,0.0,0.0,8.95,1.63,0.0
20160111:0009,0.0,0.0,0.0,8.69,1.66,0.0
20160111:0109,0.0,0.0,0.0,8.29,1.76,0.0
20160111:0209,0.0,0.0,0.0,7.89,1.86,0.0
20160111:0309,0.0,0.0,0.0,7.49,1.96,0.0
20160111:0409,0.0,0.0,0.0,8.02,1.82,0.0
20160111:0509,0.87,11.89,4.09,8.55,1.68,0.0
20160111:0609,21.47,101.77,14.56,9.07,1.54,0.0
20160111:0709,31.65,141.45,23.6,10.73,1.21,0.0
20160111:0809,84.39,349.99,30.57,12.38,0.87,0.0
20160111:0909,127.58,532.66,34.63,14.04,0.54,0.0
20160111:1009,31.49,143.08,35.14,14.47,1.07,0.0
20160111:1109,32.23,144.34,32.0,14.91,1.6,0.0
20160111:1209,6.38,39.97,25.75,15.35,2.12,0.0
20160111:1309,3.37,25.7,17.19,14.22,2.17,0.0
20160111:1409,3.37,25.65,7.06,13.08,2.22,0.0
20160111:1509,0.0,0.0,0.0,11.95,2.26,0.0
20160111:1609,0.0,0.0,0.0,11.49,2.43,0.0
20160111:1709,0.0,0.0,0.0,11.03,2.59,0.0
20160111:1809,0.0,0.0,0.0,10.57,2.76,0.0
20160111:1909,0.0,0.0,0.0,10.27,2.72,0.0
20160111:2009,0.0,0.0,0.0,9.96,2.69,0.0
20160111:2109,0.0,0.0,0.0,9.66,2.65,0.0
20160111:2209,0.0,0.0,0.0,9.61,2.34,0.0
20160111:2309,0.0,0.0,0.0,9.55,2.03,0.0
20160112:0009,0.0,0.0,0.0,9.5,1.72,0.0
20160112:0109,0.0,0.0,0.0,9.08,1.6,0.0
20160112:0209,0.0,0.0,0.0,8.67,1.47,0.0
20160112:0309,0.0,0.0,0.0,8.25,1.34,0.0
20160112:0409,0.0,0.0,0.0,8.69,1.31,0.0
20160112:0509,1.01,12.8,4.12,9.14,1.28,0.0
20160112:0609,64.58,272.13,14.61,9.58,1.26,0.0
20160112:0709,86.94,355.54,23.68,11.1,1.15,0.0
20160112:0809,157.49,653.35,30.68,12.63,1.05,0.0
20160112:0909,115.08,481.94,34.77,14.15,0.95,0.0
20160112:1009,198.57,844.74,35.31,14.57,1.36,0.0
20160112:1109,171.74,719.86,32.18,15.0,1.76,0.0
20160112:1209,134.3,553.3,25.93,15.43,2.17,0.0
20160112:1309,78.83,325.89,17.37,14.44,2.13,0.0
20160112:1409,15.07,77.11,7.23,13.44,2.1,0.0
20160112:1509,0.0,0.0,0.0,12.45,2.07,0.0
20160112:1609,0.0,0.0,0.0,11.91,2.17,0.0
20160112:1709,0.0,0.0,0.0,11.38,2.28,0.0
20160112:1809,0.0,0.0,0.0,10.84,2.39,0.0
20160112:1909,0.0,0.0,0.0,10.5,2.19,0.0
20160112:2009,0.0,0.0,0.0,10.17,1.99,0.0
20160112:2109,0.0,0.0,0.0,9.83,1.79,0.0
20160112:2209,0.0,0.0,0.0,9.68,1.79,0.0
20160112:2309,0.0,0.0,0.0,9.54,1.79,0.0
20160113:0009,0.0,0.0,0.0,9.39,1.79,0.0
20160113:0109,0.0,0.0,0.0,8.94,1.87,0.0
20160113:0209,0.0,0.0,0.0,8.5,1.95,0.0
20160113:0309,0.0,0.0,0.0,8.05,2.03,0.0
20160113:0409,0.0,0.0,0.0,8.47,1.97,0.0
20160113:0509,0.87,11.89,4.15,8.89,1.92,0.0
20160113:0609,60.49,254.78,14.66,9.3,1.86,0.0
20160113:0709,115.1,466.35,23.77,11.05,1.93,0.0
20160113:0809,169.03,694.86,30.79,12.8,2.0,0.0
20160113:0909,189.37,792.92,34.92,14.55,2.07,0.0
20160113:1009,194.67,821.94,35.48,14.95,2.11,0.0
20160113:1109,196.29,827.2,32.37,15.35,2.14,0.0
20160113:1209,169.05,705.03,26.12,15.75,2.18,0.0
20160113:1309,117.25,482.94,17.55,14.66,2.14,0.0
20160113:1409,29.76,137.58,7.41,13.58,2.1,0.0
20160113:1509,0.0,0.0,0.0,12.49,2.06,0.0
20160113:1609,0.0,0.0,0.0,11.91,1.82,0.0
20160113:1709,0.0,0.0,0.0,11.33,1.59,0.0
20160113:1809,0.0,0.0,0.0,10.75,1.35,0.0
20160113:1909,0.0,0.0,0.0,10.36,2.0,0.0
20160113:2009,0.0,0.0,0.0,9.96,2.65,0.0
20160113:2109,0.0,0.0,0.0,9.57,3.3,0.0
20160113:2209,0.0,0.0,0.0,9.61,3.46,0.0
20160113:2309,0.0,0.0,0.0,9.65,3.63,0.0
20160114:0009,0.0,0.0,0.0,9.69,3.79,0.0
20160114:0109,0.0,0.0,0.0,9.39,3.9,0.0
20160114:0209,0.0,0.0,0.0,9.1,4.01,0.0
20160114:0309,0.0,0.0,0.0,8.8,4.12,0.0
20160114:0409,0.0,0.0,0.0,9.46,4.35,0.0
20160114:0509,0.72,10.98,4.19,10.12,4.58,0.0
20160114:0609,51.63,219.54,14.72,10.77,4.81,0.0
20160114:0709,131.02,524.26,23.86,12.31,5.17,0.0
20160114:0809,173.89,700.81,30.92,13.86,5.52,0.0
20160114:0909,200.24,815.94,35.08,15.4,5.88,0.0
20160114:1009,189.63,772.34,35.66,15.51,5.75,0.0
20160114:1109,54.95,235.08,32.56,15.62,5.62,0.0
20160114:1209,164.56,668.72,26.31,15.74,5.49,0.0
20160114:1309,83.54,341.21,17.74,14.52,4.91,0.0
20160114:1409,28.62,131.87,7.58,13.3,4.32,0.0
20160114:1509,0.0,0.0,0.0,12.08,3.74,0.0
20160114:1609,0.0,0.0,0.0,11.65,3.65,0.0
20160114:1709,0.0,0.0,0.0,11.23,3.56,0.0
20160114:1809,0.0,0.0,0.0,10.8,3.48,0.0
20160114:1909,0.0,0.0,0.0,10.53,3.54,0.0
